Artist,Title,duration,length_song,numberone,entered,exited,censored,year,bpm,failure
2 Pac,Do For Love,18,4.6,0,3/23/98,7/27/98,0,1998,95,1
Aaliyah,Are You That Somebody?,8,4.166666667,0,12/7/98,2/1/99,0,1998,137,1
Pearl Jam,Given To Fly,16,3.95,0,1/26/98,5/18/98,0,1998,104,1
Link,Whatcha Gonna Do?,19,4.316666667,0,6/8/98,10/19/98,0,1998,93,1
Jagged Edge,Gotta Be,16,3.5,0,8/17/98,12/7/98,0,1998,109,1
Aqua,Lollipop (Candyman),17,3.533333333,0,12/15/97,4/13/98,0,1998,138,1
Big Punisher,Still Not A Player,23,3.933333333,0,6/15/98,11/23/98,0,1998,94,1
Savage Garden,To The Moon And Back,13,4.483333333,0,7/13/98,10/12/98,0,1998,104,1
SWV,Rain,14,4.383333333,0,3/30/98,7/6/98,0,1998,138,1
Inoj,Love You Down,20,4.3,0,2/9/98,6/29/98,0,1998,134,1
Imajin,Shorty (You Keep Playin' With My Mind),20,4.866666667,0,6/1/98,10/19/98,0,1998,101,1
Aaron Hall,All The Places (I Will Kiss You),16,5.133333333,0,10/19/98,2/8/99,0,1998,136,1
Luke,Raise The Roof,20,3.5,0,3/30/98,8/17/98,0,1998,71,1
Cleopatra,Cleopatra's Theme,19,3.8,0,7/6/98,11/16/98,0,1998,103,1
Aretha Franklin,A Rose Is Still A Rose,18,3.966666667,0,3/16/98,7/20/98,0,1998,87,1
"Notorious B.I.G., The",Going Back To Cali,18,3.85,0,12/8/97,4/13/98,0,1998,98,1
Nu Flavor,Heaven,24,4.1,0,10/13/97,3/30/98,0,1998,97,1
Pressha,Splackavellie,14,4,0,9/7/98,12/14/98,0,1998,129,1
Gloria Estefan,Heaven's What I Feel,20,4.55,0,5/25/98,10/12/98,0,1998,131,1
Master P,Goodbye To My Homies,16,4.066666667,0,8/17/98,12/7/98,0,1998,141,1
Aerosmith,Pink,13,3.833333333,0,3/2/98,6/1/98,0,1998,85,1
Beastie Boys,Intergalactic,18,3.75,0,8/3/98,12/7/98,0,1998,106,1
Eve 6,Inside Out,14,3.616666667,0,12/7/98,3/15/99,0,1998,87,1
Canibus,Second Round K.O.,15,4.016666667,0,4/13/98,7/27/98,0,1998,141,1
Queen Pen,All My Love,15,3.416666667,0,2/9/98,5/25/98,0,1998,103,1
Sarah McLachlan,Sweet Surrender,14,3.9,0,2/16/98,5/25/98,0,1998,113,1
JD,The Party Continues,19,4,0,3/9/98,7/20/98,0,1998,101,1
Jon B.,Are U Still Down,16,4.55,0,2/2/98,5/25/98,0,1998,91,1
Tamia,So Into You,20,4.283333333,0,7/20/98,12/7/98,0,1998,91,1
"Lox, The",If You Think I'm Jiggy,13,3.733333333,0,2/9/98,5/11/98,0,1998,98,1
69 Boyz,Woof Woof,16,4.166666667,0,7/20/98,11/9/98,0,1998,135,1
Ol Skool,Am I Dreaming,13,4.15,0,2/9/98,5/11/98,0,1998,123,1
Faith Hill,Let Me Let Go,10,4.083333333,0,12/7/98,2/15/99,0,1998,80,1
Mya,Movin' On,20,4.466666667,0,8/10/98,12/28/98,0,1998,89,1
"Backstreet Boys, The",I'll Never Break Your Heart,2,4.8,0,12/7/98,12/21/98,0,1998,81,1
Tyrese,Nobody Else,15,3.833333333,0,8/24/98,12/7/98,0,1998,91,1
All Saints,I Know Where It's At,18,4,0,2/2/98,6/8/98,0,1998,97,1
Noreaga,Superthug,13,4.95,0,9/14/98,12/14/98,0,1998,95,1
Voices Of Theory,Wherever You Go,16,4.116666667,0,10/19/98,2/8/99,0,1998,107,1
Brooks & Dunn,Husbands And Wives,9,3.166666667,0,12/7/98,2/8/99,0,1998,105,1
"Dixie Chicks, The",There's Your Trouble,16,3.116666667,0,5/18/98,9/7/98,0,1998,126,1
Alana Davis,32 Flavors,20,3.7,0,12/8/97,4/27/98,0,1998,94,1
Collin Raye,Someone You Used To Know,14,3.716666667,0,11/23/98,3/1/99,0,1998,98,1
Tamia,Imagination,20,3.566666667,0,3/23/98,8/10/98,0,1998,99,1
Timbaland & Magoo,Clock Strikes,14,3.7,0,5/4/98,8/10/98,0,1998,101,1
Playa,Cheers 2 U,20,5.166666667,0,3/30/98,8/17/98,0,1998,127,1
Ty Herndon,It Must Be Love,10,3.383333333,0,12/7/98,2/15/99,0,1998,115,1
Matchbox 20,Real World,2,3.833333333,0,12/7/98,12/21/98,0,1998,118,1
DMX,Get At Me Dog,20,3.1,0,3/2/98,7/20/98,0,1998,97,1
Rod Stewart,Ooh La La,20,3.966666667,0,7/6/98,11/23/98,0,1998,75,1
Clay Walker,You're Beginning To Get To Me,13,2.683333333,0,12/7/98,3/8/99,0,1998,83,1
Beenie Man,Who Am I,20,3.266666667,0,3/16/98,8/3/98,0,1998,88,1
Shania Twain,Don't Be Stupid (You Know I Love You),16,3.583333333,0,12/8/97,3/30/98,0,1998,122,1
Terri Clark,You're Easy On The Eyes,12,3.533333333,0,12/7/98,3/1/99,0,1998,126,1
"Dixie Chicks, The",Wide Open Spaces,20,3.633333333,0,9/7/98,1/25/99,0,1998,89,1
Cam'ron,Horse & Carriage,17,3.916666667,0,7/20/98,11/16/98,0,1998,,1
Mia X,Whatcha Wanna Do,7,4.616666667,0,11/2/98,12/21/98,0,1998,84,1
"Smashing Pumpkins, The",Ava Adore,20,4.3,0,7/6/98,11/23/98,0,1998,79,1
Fuel,Shimmer,12,3.516666667,0,9/14/98,12/7/98,0,1998,114,1
Natalie Imbruglia,Torn,2,4.1,0,12/7/98,12/21/98,0,1998,96,1
Jo Dee Messina,Bye Bye,20,3.266666667,0,3/16/98,8/3/98,0,1998,134,1
Lee Ann Womack,A Little Past Little Rock,10,3.7,0,10/12/98,12/21/98,0,1998,85,1
Jo Dee Messina,I'm Alright,4,3.2,0,8/17/98,9/14/98,0,1998,98,1
PM Dawn,I Had No Right,10,4.916666667,0,9/28/98,12/7/98,0,1998,82,1
George Strait,We Shouldn't Really Be Doing This,5,2.483333333,0,12/7/98,1/11/99,0,1998,146,1
Donna Lewis,At The Beginning,20,3.6,0,11/10/97,3/30/98,0,1998,124,1
Meredith Brooks,What Would Happen,10,5.116666667,0,3/2/98,5/11/98,0,1998,100,1
Sweetbox,Everything's Gonna Be Alright,8,3.166666667,0,10/12/98,12/7/98,0,1998,85,1
Swirl 360,Hey Now Now,11,4.1,0,7/27/98,10/12/98,0,1998,122,1
Somethin' For The People,All I Do,11,5.066666667,0,2/23/98,5/11/98,0,1998,136,1
Pearl Jam,Wishlist,20,3.433333333,0,5/25/98,10/12/98,0,1998,115,1
Myron,Destiny,13,4,0,7/20/98,10/19/98,0,1998,119,1
Blessid Union Of Souls,Light In Your Eyes,19,4.05,0,2/16/98,6/29/98,0,1998,114,1
Color Me Badd,Remember When,13,4.233333333,0,7/27/98,10/26/98,0,1998,105,1
La Bouche,You Won't Forget Me,20,3.966666667,0,6/8/98,10/26/98,0,1998,130,1
Smooth,Strawberries,17,4.2,0,2/23/98,6/22/98,0,1998,81,1
Tori Amos,Spark,14,4.166666667,0,6/29/98,10/5/98,0,1998,138,1
Willie Max,Can't Get Enough,10,4.55,0,11/9/98,1/18/99,0,1998,114,1
7 Mile,Do Your Thing,19,4.766666667,0,4/27/98,9/7/98,0,1998,120,1
Goodie Mob,Black Ice (Sky High),15,3.533333333,0,6/29/98,10/12/98,0,1998,101,1
Reba McEntire,What If,15,3.966666667,0,12/15/97,3/30/98,0,1998,94,1
Salt 'N Pepa,Gitty Up,14,3.966666667,0,3/30/98,7/6/98,0,1998,104,1
Xzibit,What U See Is What U Get,14,5.15,0,8/3/98,11/9/98,0,1998,93,1
Queen Latifah,Paper,10,3.95,0,8/17/98,10/26/98,0,1998,107,1
S.O.A.P.,This Is How We Party,12,3.283333333,0,4/20/98,7/13/98,0,1998,110,1
Too Short,Invasion Of The Flat Booty B*****s,10,4.416666667,0,9/28/98,12/7/98,0,1998,94,1
Fleetwood Mac,Landslide,20,3.933333333,0,7/20/98,12/7/98,0,1998,147,1
JD,Money Ain't A Thang,20,4.266666667,0,7/6/98,11/23/98,0,1998,100,1
Jay-Z,The City Is Mine,20,3.7,0,2/2/98,6/22/98,0,1998,97,1
Militia,Burn,20,4.233333333,0,1/12/98,6/1/98,0,1998,91,1
Garbage,Push It,18,4.016666667,0,5/11/98,9/14/98,0,1998,123,1
Stars On 54,If You Could Read My Mind,14,3.566666667,0,8/31/98,12/7/98,0,1998,126,1
Five,It's The Things You Do,10,3.383333333,0,11/16/98,1/25/99,0,1998,94,1
Nastyboy Klick,Lost In Love,9,4.083333333,0,10/5/98,12/7/98,0,1998,70,1
Mack 10,Money's Just A Touch Away,4,4.433333333,0,11/9/98,12/7/98,0,1998,86,1
"Smashing Pumpkins, The",Perfect,6,3.383333333,0,10/26/98,12/7/98,0,1998,114,1
Tori Amos,Jackie's Strength,5,4.2,0,10/5/98,11/9/98,0,1998,119,1
Brand Nubian,Don't Let It Go To Your Head,6,4,0,10/26/98,12/7/98,0,1998,99,1
"Wilkinsons, The",26 Cents,18,3.783333333,0,8/3/98,12/7/98,0,1998,101,1
Elton John,Recover Your Soul,20,4.233333333,0,4/20/98,9/7/98,0,1998,106,1
"Tuesdays, The",It's Up To You,10,3.983333333,0,3/23/98,6/1/98,0,1998,96,1
WC,Just Clownin',20,4.016666667,0,12/15/97,5/4/98,0,1998,96,1
Various Artists,One Heart At A Time,20,4.066666667,0,6/1/98,10/19/98,0,1998,104,1
Hi-Town DJ's,Ding-A-Ling,19,4.133333333,0,5/4/98,9/14/98,0,1998,133,1
Debelah Morgan,Yesterday,11,3.833333333,0,9/21/98,12/7/98,0,1998,128,1
En Vogue,No Fool No More,8,3.95,0,10/12/98,12/7/98,0,1998,102,1
Silkk The Shocker,Just Be Straight With Me,16,4.25,0,3/23/98,7/13/98,0,1998,92,1
Sam Salter,There You Are,12,4.183333333,0,6/22/98,9/14/98,0,1998,137,1
R.E.M.,Daysleeper,3,3.433333333,0,11/16/98,12/7/98,0,1998,86,1
Deja Vu,My Heart Will Go On,17,4.416666667,0,3/16/98,7/13/98,0,1998,131,1
Amber,One More Night,20,3.7,0,10/20/97,3/9/98,0,1998,63,1
Kimberly Scott,Tuck Me In,14,4.316666667,0,12/15/97,3/23/98,0,1998,127,1
Athenaeum,What I Didn't Know,14,3.55,0,8/3/98,11/9/98,0,1998,127,1
Space Monkeys,Sugar Cane,4,3.266666667,0,1/26/98,2/23/98,0,1998,107,1
Kai,Say You'll Stay,19,3.5,0,12/22/97,5/4/98,0,1998,120,1
Anita Cochran,What If I Said,15,4.8,0,1/5/98,4/20/98,0,1998,124,1
Sting & The Police,Roxanne '97 - Puff Daddy Remix,13,4.55,0,12/29/97,3/30/98,0,1998,97,1
Solo,Touch Me,12,4.033333333,0,9/14/98,12/7/98,0,1998,93,1
John Forte,Ninety Nine (Flash The Message),16,3.433333333,0,6/1/98,9/21/98,0,1998,132,1
Rockell,Can't We Try,20,4.016666667,0,7/6/98,11/23/98,0,1998,,1
Metallica,The Unforgiven II,15,6.533333333,0,4/6/98,7/20/98,0,1998,132,1
N'Sync,Tearin Up My Heart,1,3.466666667,0,12/7/98,12/14/98,0,1998,110,1
Ricky Martin,The Cup Of Life,16,4.55,0,6/29/98,10/19/98,0,1998,126,1
Vince Gill,If You Ever Have Forever In Mind,13,4.55,0,7/6/98,10/5/98,0,1998,91,1
Mos Def & Kweli,Definition,10,3.366666667,0,8/24/98,11/2/98,0,1998,91,1
Bravo All Stars,Let The Music Heal Your Soul,4,3.85,0,11/9/98,12/7/98,0,1998,80,1
Memphis Bleek,It's Alright,12,4,0,8/10/98,11/2/98,0,1998,95,1
George Strait,I Just Want To Dance With You,19,3.4,0,4/27/98,9/7/98,0,1998,114,1
Depeche Mode,Only When I Lose Myself,9,4.883333333,0,10/5/98,12/7/98,0,1998,,1
Michael W. Smith,Love Me Good,5,3.816666667,0,4/27/98,6/1/98,0,1998,,1
Wyclef Jean,What's Clef,1,4.25,0,8/10/98,8/17/98,0,1998,97,1
Do Or Die,Still Po' Pimpin',14,4.05,0,3/30/98,7/6/98,0,1998,136,1
MissJones,2 Way Street,13,3.9,0,7/6/98,10/5/98,0,1998,99,1
Stardust,Music Sounds Better With You,8,4.333333333,0,10/12/98,12/7/98,0,1998,123,1
Garth Brooks,It's Your Song,5,4.116666667,0,12/7/98,1/11/99,0,1998,,1
U2,Sweetest Thing,17,3,0,12/7/98,4/5/99,0,1998,70,1
Nutta Butta,Freak Out,11,4.9,0,6/22/98,9/7/98,0,1998,99,1
Tracy Byrd,I'm From The Country,18,3.4,0,4/6/98,8/10/98,0,1998,129,1
Lutricia McNeal,Ain't That Just The Way,16,3.55,0,1/5/98,4/27/98,0,1998,,1
Tami Davis,How Do You Say I'm Sorry,14,4.133333333,0,7/6/98,10/12/98,0,1998,111,1
Keith Washington,Bring It On,13,3.583333333,0,3/9/98,6/8/98,0,1998,117,1
A+,Enjoy Yourself,3,3.65,0,11/16/98,12/7/98,0,1998,101,1
Randy Travis,Out Of My Bones,10,2.75,0,4/27/98,7/6/98,0,1998,72,1
WC,Better Days,7,4.233333333,0,10/19/98,12/7/98,0,1998,99,1
Hannah Jones,You Only Have To Say You Love Me,20,3.883333333,0,6/15/98,11/2/98,0,1998,,1
Clay Walker,Then What,18,3,0,2/9/98,6/15/98,0,1998,88,1
R. Kelly,Home Alone,16,4.3,0,12/7/98,3/29/99,0,1998,130,1
Pure Sugar,Delicious,12,4.716666667,0,8/10/98,11/2/98,0,1998,70,1
She Moves,It's Your Love,15,3.75,0,3/23/98,7/6/98,0,1998,,1
Olivia Newton-John & Babyface,I Honestly Love You,12,4,0,6/1/98,8/24/98,0,1998,112,1
David Kersh,If I Never Stop Loving You,16,3.55,0,2/16/98,6/8/98,0,1998,,1
Wade Hayes,How Do You Sleep At Night,3,3.416666667,0,12/7/98,12/28/98,0,1998,123,1
Barenaked Ladies,Brian Wilson,20,3.866666667,0,11/24/97,4/13/98,0,1998,90,1
Dakota Moon,A Promise I Make,13,3.966666667,0,3/23/98,6/22/98,0,1998,95,1
Everything,Hooch,7,3.683333333,0,12/7/98,1/25/99,0,1998,93,1
Wyclef Jean,Chickenhead,2,4.433333333,0,8/17/98,8/31/98,0,1998,92,1
Mono,Life In Mono,15,3.75,0,2/16/98,6/1/98,0,1998,84,1
Cypress Hill,Tequila Sunrise,10,3.933333333,0,9/28/98,12/7/98,0,1998,,1
Mic Geronimo,Nothin' Move But The Money,6,3.816666667,0,2/23/98,4/6/98,0,1998,,1
DMX,How's It Goin' Down,10,4.05,0,9/28/98,12/7/98,0,1998,91,1
LFO,If I Can't Have You,4,3.716666667,0,11/9/98,12/7/98,0,1998,94,1
"Tribe Called Quest, A",Find A Way,7,3.316666667,0,9/14/98,11/2/98,0,1998,94,1
Lisa Loeb,Let's Forget About It,7,2.65,0,5/4/98,6/22/98,0,1998,100,1
Baby Talk,Hooked On A Feeling (Ooga-Chaka),6,2.9,0,6/1/98,7/13/98,0,1998,96,1
Funkmaster Flex,Here We Go,14,4.066666667,0,8/24/98,11/30/98,0,1998,96,1
Terri Clark,Now That I Found You,13,3.55,0,5/25/98,8/24/98,0,1998,90,1
J'Son,I Should Cheat On You,13,4.016666667,0,9/7/98,12/7/98,0,1998,87,1
Rockell,In A Dream,20,4,0,9/8/97,1/26/98,0,1998,132,1
Mark Wills,I Do (Cherish You),13,3.283333333,0,5/11/98,8/10/98,0,1998,,1
Born Jamericans,Send My Love (Send One Your Love),10,4.05,0,2/9/98,4/20/98,0,1998,,1
Cypress Hill,Dr. Greenthumb,1,3.133333333,0,9/21/98,9/28/98,0,1998,103,1
Jody Watley,Off The Hook,13,3.75,0,2/23/98,5/25/98,0,1998,79,1
Lari White,Stepping Stone,12,3.4,0,7/13/98,10/5/98,0,1998,44,1
Mark Wills,Don't Laugh At Me,5,3.6,0,12/7/98,1/11/99,0,1998,88,1
Wyclef Jean,Cheated (To All The Girls),5,4,0,8/24/98,9/28/98,0,1998,36,1
Tim McGraw,One Of These Days,10,4.65,0,5/4/98,7/13/98,0,1998,141,1
Queen Pen,Party Ain't A Party,4,4.583333333,0,6/22/98,7/20/98,0,1998,88,1
Elusion,Reality,11,4.45,0,3/16/98,6/1/98,0,1998,87,1
Lysette,"Young, Sad And Blue",10,4.016666667,0,1/12/98,3/23/98,0,1998,75,1
All City,The Actual,4,4.133333333,0,7/13/98,8/10/98,0,1998,90,1
Mark Morrison,Moan & Groan,7,3.716666667,0,4/20/98,6/8/98,0,1998,123,1
Ace Of Base,Whenever You're Near Me,5,3.45,0,11/2/98,12/7/98,0,1998,97,1
Shaggy,"Luv Me, Luv Me",17,3.933333333,0,12/21/98,4/19/99,0,1998,90,1
Gang Starr,You Know My Steez,13,3.733333333,0,12/8/97,3/9/98,0,1998,122,1
Aretha Franklin,Here We Go Again,11,3.45,0,7/20/98,10/5/98,0,1998,99,1
Sister 7,Know What You Mean,7,4.25,0,6/1/98,7/20/98,0,1998,131,1
Gloria Estefan,Don't Let This Moment End,2,4.083333333,0,11/23/98,12/7/98,0,1998,,1
"Dixie Chicks, The",I Can Love You Better,7,2.983333333,0,2/2/98,3/23/98,0,1998,,1
Fatboy Slim,The Rockafeller Skank,15,3.983333333,0,8/10/98,11/23/98,0,1998,77,1
Kenny Wayne Shepherd Band,Blue On Black,10,4.383333333,0,5/4/98,7/13/98,0,1998,,1
Bounty Killer,Deadly Zone,7,4.933333333,0,10/12/98,11/30/98,0,1998,96,1
Kenny Chesney,That's Why I'm Here,7,3.966666667,0,5/11/98,6/29/98,0,1998,136,1
DMX,Stop Being Greedy,6,3.566666667,0,8/17/98,9/28/98,0,1998,101,1
EOL,Love The Way,6,3.883333333,0,7/13/98,8/24/98,0,1998,91,1
Kirk Franklin,Lean On Me,5,5.133333333,0,12/7/98,1/11/99,0,1998,108,1
Tim McGraw,Where The Green Grass Grows,4,3.366666667,0,12/7/98,1/4/99,0,1998,79,1
Rebekah,Sin So Well,6,3.583333333,0,6/22/98,8/3/98,0,1998,119,1
Heltah Skeltah,I Ain't Havin' That,7,5.116666667,0,10/5/98,11/23/98,0,1998,100,1
Adam Sandler,The Chanukah Song,2,3.733333333,0,1/4/99,1/18/99,0,1998,95,1
Reel Tight,(Do You) Wanna Ride,1,3.55,0,11/30/98,12/7/98,0,1998,137,1
Ty Herndon,A Man Holdin' On,10,3.566666667,0,6/8/98,8/17/98,0,1998,128,1
Cleopatra,Life Ain't Easy,5,3.283333333,0,11/2/98,12/7/98,0,1998,98,1
Fruit De La Passion,Tic Tic Tac,8,3.4,0,2/9/98,4/6/98,0,1998,84,1
Davina,Come Over To My Place,9,3.916666667,0,4/20/98,6/22/98,0,1998,83,1
Andrea Martin,Let Me Return The Favor,5,4.166666667,0,11/2/98,12/7/98,0,1998,87,1
4 The Cause,Stand By Me,5,3.666666667,0,8/24/98,9/28/98,0,1998,95,1
Alabama,How Do You Fall In Love,5,2.933333333,0,12/7/98,1/11/99,0,1998,85,1
Cynthia,If I Had The Chance,7,4.133333333,0,10/19/98,12/7/98,0,1998,,1
Nu Flavor,Baby Be There,7,3.766666667,0,6/15/98,8/3/98,0,1998,,1
Deana Carter,Absence Of The Heart,2,3.483333333,0,12/7/98,12/21/98,0,1998,84,1
Nicole Renee,Strawberry,2,3.783333333,0,11/23/98,12/7/98,0,1998,89,1
Queen Pen,Man Behind The Music,9,4.166666667,0,12/15/97,2/16/98,0,1998,129,1
Elvis Crespo,Suavemente,2,5.066666667,0,11/23/98,12/7/98,0,1998,70,1
Latanya,Whatuon,7,3.933333333,0,6/15/98,8/3/98,0,1998,139,1
Jesse Powell,I Wasn't With It,9,3.866666667,0,8/24/98,10/26/98,0,1998,,1
Deana Carter,Did I Shave My Legs For This?,6,3.166666667,0,12/15/97,1/26/98,0,1998,89,1
Hole,Celebrity Skin,9,2.7,0,12/7/98,2/8/99,0,1998,134,1
Sammy Kershaw,Love Of My Life,5,4.333333333,0,12/29/97,2/2/98,0,1998,140,1
"Tragedy, Capone & Infinite",'98 Thug Paradise,5,3.966666667,0,9/21/98,10/26/98,0,1998,,1
Christion,I Wanna Get Next To You,4,3.75,0,6/8/98,7/6/98,0,1998,132,1
Travis Tritt,If I Lost You,11,3.766666667,0,10/19/98,1/4/99,0,1998,139,1
Fastball,Fire Escape,8,3.35,0,12/7/98,2/1/99,0,1998,125,1
Wade Hayes,The Day That She Left Tulsa (In A Chevy),5,3.5,0,2/16/98,3/23/98,0,1998,136,1
Blair,"Have Fun, Go Mad",4,3.566666667,0,5/25/98,6/22/98,0,1998,96,1
Rell,Love For Free,3,5.216666667,0,8/3/98,8/24/98,0,1998,81,1
Sublime,Doin' Time,7,4.166666667,0,12/22/97,2/9/98,0,1998,81,1
Chucklebutt,Tubthumping,6,3.533333333,0,2/2/98,3/16/98,0,1998,67,1
Phajja,"So Long (Well, Well, Well)",5,4,0,2/23/98,3/30/98,0,1998,,1
Dionne Warwick,What The World Needs Now Is Love,2,4.283333333,0,8/3/98,8/17/98,0,1998,83,1
Kinsu,Tha Hop,8,3.7,0,1/26/98,3/23/98,0,1998,135,1
Daze,Superhero,3,3.316666667,0,5/25/98,6/15/98,0,1998,135,1
Enya,Only If..,3,3.233333333,0,1/5/98,1/26/98,0,1998,,1
Kim Sanders,Jealousy,10,3.8,0,2/2/98,4/13/98,0,1998,132,1
Prodigy,Smack My Bitch Up,7,4.75,0,12/22/97,2/9/98,0,1998,,1
Heather B.,Do You,2,4.233333333,0,8/3/98,8/17/98,0,1998,90,1
Daryle Singletary,The Note,6,3.333333333,0,3/2/98,4/13/98,0,1998,84,1
Prince Be,Gotta Be.. Movin' On Up,5,3.65,0,3/30/98,5/4/98,0,1998,,1
Reiss,Boom Bye Yae,2,4.083333333,0,8/3/98,8/17/98,0,1998,88,1
M:G,Sweet Honesty,5,3.866666667,0,5/4/98,6/8/98,0,1998,129,1
John Michael Montgomery,Cover You In Kisses,9,3.85,0,8/3/98,10/5/98,0,1998,106,1
Inner Circle,Not About Romance,6,3.583333333,0,8/3/98,9/14/98,0,1998,97,1
Timbaland,Here We Come,4,4.6,0,12/7/98,1/4/99,0,1998,94,1
Emilia,Big Big World,2,3.366666667,0,11/30/98,12/14/98,0,1998,88,1
Mag 7,The Street Mix,5,3.933333333,0,11/2/98,12/7/98,0,1998,101,1
Trisha Yearwood,There Goes My Baby,2,3.766666667,0,7/20/98,8/3/98,0,1998,108,1
Tami Davis,Only You,1,3.85,0,11/30/98,12/7/98,0,1998,76,1
"Rolling Stones, The",Saint Of Me,4,4.083333333,0,3/9/98,4/6/98,0,1998,201,1
Brian Setzer Orchestra,"Jump, Jive An' Wail",3,2.833333333,0,12/7/98,12/28/98,0,1998,101,1
Lil Suzy,I Still Love You,1,3.966666667,0,11/30/98,12/7/98,0,1998,136,1
Brooklyn Bounce,Get Ready To Bounce,4,3.566666667,0,4/13/98,5/11/98,0,1998,135,1
Club 69,Much Better,3,3.433333333,0,1/26/98,2/16/98,0,1998,126,1
Lonestar,Everything's Changed,2,3.5,0,12/7/98,12/21/98,0,1998,,1
Innerlude,I Don't Wanna Go On,2,4.233333333,0,5/18/98,6/1/98,0,1998,117,1
Rufus Blaq,Out Of Sight (Yo),4,3.633333333,0,5/4/98,6/1/98,0,1998,97,1
Elton John,Candle In The Wind 1997,42,4.133333333,1,10/13/97,8/3/98,0,1997,126,1
Elton John,Something About The Way You Look Tonight,42,3.95,1,10/13/97,8/3/98,0,1997,71,1
Puff Daddy & Faith Evans,I'll Be Missing You,33,5.033333333,1,6/16/97,2/2/98,0,1997,109,1
Puff Daddy,Can't Nobody Hold Me Down,28,5.166666667,1,1/27/97,8/11/97,0,1997,93,1
"Spice Girls, The",Wannabe,23,2.833333333,1,1/27/97,7/7/97,0,1997,110,1
Hanson,MMMbop,22,3.966666667,1,5/5/97,10/6/97,0,1997,104,1
Mariah Carey,Honey,20,5,1,9/15/97,2/2/98,0,1997,95,1
"Notorious B.I.G., The",Hypnotize,20,3.916666667,1,4/28/97,9/15/97,0,1997,93,1
"Notorious B.I.G., The","Mo Money, Mo Problems",30,4.15,1,8/4/97,3/2/98,0,1997,104,1
Boyz II Men,4 Seasons Of Loneliness,20,4.85,1,9/29/97,2/16/98,0,1997,125,1
Usher,You Make Me Wanna..,47,3.633333333,0,8/25/97,7/20/98,0,1997,82,1
LeAnn Rimes,How Do I Live,69,4.3,0,6/23/97,10/19/98,0,1997,128,1
En Vogue,Don't Let Go (Love),35,4.066666667,0,11/11/96,7/14/97,0,1997,78,1
Meredith Brooks,Bitch,30,4.216666667,0,4/28/97,11/24/97,0,1997,96,1
Jewel,You Were Meant For Me,65,3.75,0,12/2/96,3/2/98,0,1997,115,1
"Backstreet Boys, The",Quit Playing Games (With My Heart),43,3.866666667,0,6/30/97,4/27/98,0,1997,100,1
Mark Morrison,Return Of The Mack,40,3.533333333,0,3/3/97,12/8/97,0,1997,95,1
"Spice Girls, The",Say You'll Be There,21,3.833333333,0,5/26/97,10/20/97,0,1997,106,1
Third Eye Blind,Semi-Charmed Life,43,3.616666667,0,7/7/97,5/4/98,0,1997,102,1
Monica,For You I Will,32,4.15,0,3/17/97,10/27/97,0,1997,123,1
LSG,My Body,20,4.133333333,0,11/3/97,3/23/98,0,1997,119,1
Celine Dion,All By Myself,20,3.85,0,3/31/97,8/18/97,0,1997,120,1
Somethin' For The People,My Love Is The Shhh!,26,5.116666667,0,9/1/97,3/2/98,0,1997,125,1
Dru Hill,In My Bed,25,3.833333333,0,1/13/97,7/7/97,0,1997,118,1
"Spice Girls, The",2 Become 1,24,3.933333333,0,8/18/97,2/2/98,0,1997,72,1
Whitney Houston,I Believe In You And Me,20,3.883333333,0,12/30/96,5/19/97,0,1997,123,1
Savage Garden,I Want You,33,3.833333333,0,3/3/97,10/20/97,0,1997,106,1
Allure,All Cried Out,25,4.533333333,0,9/1/97,2/23/98,0,1997,139,1
Bone Thugs N Harmony,Look Into My Eyes,20,4.383333333,0,6/23/97,11/10/97,0,1997,144,1
Mase,Feel So Good,20,4,0,11/3/97,3/23/98,0,1997,100,1
"Verve Pipe, The",The Freshman,42,4.483333333,0,2/24/97,12/15/97,0,1997,100,1
Chumbawamba,Tubthumping,31,3.533333333,0,9/15/97,4/20/98,0,1997,103,1
Babyface,Every Time I Close My Eyes,26,4.183333333,0,2/3/97,8/4/97,0,1997,71,1
Rome,I Belong To You (Every Time I See Your Face),26,3.9,0,3/17/97,9/15/97,0,1997,117,1
Lil' Kim,Not Tonight,21,4.216666667,0,7/14/97,12/8/97,0,1997,99,1
Robyn,Show Me Love,24,3.783333333,0,11/17/97,5/4/98,0,1997,91,1
Jewel,Foolish Games,24,5.633333333,0,9/15/97,3/2/98,0,1997,121,1
Robyn,Do You Know (What It Takes),28,3.666666667,0,6/2/97,12/15/97,0,1997,100,1
New Edition,I'm Still In Love With You,20,3.7,0,11/11/96,3/31/97,0,1997,133,1
Shawn Colvin,Sunny Came Home,32,4.366666667,0,7/14/97,2/23/98,0,1997,83,1
Tim McGraw,It's Your Love,20,3.716666667,0,5/19/97,10/6/97,0,1997,72,1
Dru Hill,Never Make A Promise,20,4.016666667,0,8/11/97,12/29/97,0,1997,113,1
Foxy Brown,I'll Be,20,3,0,2/17/97,7/7/97,0,1997,105,1
Aqua,Barbie Girl,16,3.2,0,9/8/97,12/29/97,0,1997,129,1
Paula Cole,Where Have All The Cowboys Gone?,21,3.766666667,0,4/14/97,9/8/97,0,1997,128,1
AZ Yet,Hard To Say I'm Sorry,34,3.216666667,0,2/24/97,10/20/97,0,1997,127,1
Changing Faces,G.H.E.T.T.O.U.T,25,4.133333333,0,5/12/97,11/3/97,0,1997,108,1
